dataset_id,dataset_name,publisher,canonical_source,persistent_id,decision,review_status,license_classification,compressed_size,extracted_size,raw_row_count,raw_row_count_status,raw_column_count,raw_column_count_status,unique_entities,entity_count_status,first_timestamp,last_timestamp,duration_months,source_granularity,estimated_monthly_rows,monthly_rows_status,entities_3plus,entities_6plus,entities_13plus,entities_24plus,coverage_counts_status,missing_cell_ratio,missing_status,duplicate_timestamp_count,duplicate_status,negative_consumption_count,negative_status,zero_consumption_ratio,zero_status,extreme_outlier_count,outlier_status,longest_consecutive_months,longest_period_status,timezone,dst_anomalies,available_metadata,tariff_data,weather_data,appliance_data,pii_status,limitations
goiener,GoiEner smart meters data,GoiEner and University of Deusto,https://doi.org/10.5281/zenodo.7362094,10.5281/zenodo.7362094,PRIMARY,METADATA_FEASIBILITY_REVIEWED,LEGAL_REVIEW_REQUIRED,2.0 GB raw.tzst; processed splits 791.6 MB / 555.9 MB / 508.2 MB; original archive 8.0 GB,15.1 GB raw; processed splits 6.28 GB / 4.36 GB / 4.01 GB,UNKNOWN,UNKNOWN,2 raw; 3 imputed; metadata varies,PUBLISHER_REPORTED,25559,PUBLISHER_REPORTED,2014-12,2022-06,91,hourly,145788 minimum from pre-period cohort; ceiling 2325869,PUBLISHER_REPORTED_LOWER_BOUND,UNKNOWN,12149,12149,UNKNOWN,PARTIAL_PUBLISHER_REPORTED,95.3% of series below 1% missing; 74.5% below 0.1%; 109 above 50%,PUBLISHER_REPORTED,duplicate timestamps resolved by documented hierarchy; exact count unknown,PUBLISHER_REPORTED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,91,ESTIMATED_UPPER_BOUND,fixed Spanish local time without DST in processed files,spring gaps filled and autumn duplicates averaged; imputed flag retained,CNAE economic activity; province/municipality where safe; contracted power; tariff class; sample counts,tariff class and contracted power; no verified currency/kWh price column,NO,NO,anonymized SHA-2 supply IDs; direct identifiers and small-place names removed,COVID regime shift; 81.4% household codes; full raw archive exceeds 2 GB; canonical Zenodo Description says CC-BY-SA while DataCite rightsList says CC BY 4.0; acquisition and production-intended training blocked pending clarification
bdg2,Building Data Genome Project 2,BUDS Lab / Zenodo,https://doi.org/10.5281/zenodo.3887306,10.5281/zenodo.3887306,PRIMARY,METADATA_FEASIBILITY_REVIEWED,APPROVED_WITH_ATTRIBUTION,595.3 MB,UNKNOWN,53.6 million all meters; electricity subset about 27.7 million maximum,PUBLISHER_REPORTED,1579 in wide electricity file including timestamp; 36 metadata fields,ESTIMATED,1578,PUBLISHER_ASSOCIATED_REPORTED,2016-01-01,2017-12-31,24,hourly,37872,ESTIMATED_UPPER_BOUND,1578,1578,1578,1578,ESTIMATED_UPPER_BOUND,meter-specific; metadata missing 4-99% beyond core fields,PUBLISHER_REPORTED,raw exact unknown; cleaned workflow audits timestamps,UNKNOWN,cleaned negatives unknown,UNKNOWN,significant legitimate/invalid zero runs by meter type,PUBLISHER_REPORTED,cleaned outliers removed with Twitter AnomalyDetection; exact count unknown,PUBLISHER_REPORTED,24,ESTIMATED_UPPER_BOUND,site-local IANA timezone,local DST; expected counts must be site-specific,primary use; floor area; site; timezone; year; floors; industry; occupants with varying completeness,NO,hourly site weather: temperature humidity and other fields,NO,building IDs are anonymous; public city-level locations only,non-residential but many institutional buildings; two-year ceiling; gaps; pin Zenodo v1.0 licence
london_smart_meter,SmartMeter Energy Consumption Data in London Households,UK Power Networks / Greater London Authority,https://data.london.gov.uk/dataset/smartmeter-energy-consumption-data-in-london-households-vqm0d/,London Datastore vqm0d,PRIMARY,METADATA_FEASIBILITY_REVIEWED,APPROVED_WITH_ATTRIBUTION,764.54 MB monolith or 758.86 MB split archive,about 10 GB,167000000,PUBLISHER_REPORTED,at least 3 core fields; ancillary tariff/ACORN files,PUBLISHER_REPORTED,5567,PUBLISHER_REPORTED,2011-11,2014-02,28,30-minute,155876,ESTIMATED_UPPER_BOUND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,28,ESTIMATED_UPPER_BOUND,Europe/London or source-specific convention to verify,DST convention must be verified before aggregation,stable household ID; ACORN group; tariff group,YES: dToU 67.20/3.99/11.76 pence per kWh for about 1100 in 2013; flat 14.228 pence per kWh for others,not in core archive; join independently if used,NO,anonymous household identifiers; no direct PII reported,residential-only; trial recruitment and differing observation windows; 10 GB extracted
heapo,HEAPO Heat Pump Optimization dataset,ETH Zurich / EKZ,https://doi.org/10.5281/zenodo.15056919,10.5281/zenodo.15056919,PRIMARY,METADATA_FEASIBILITY_REVIEWED,APPROVED_WITH_ATTRIBUTION,458.3 MB,5.26 GB,437592 matched validation days from 866 households; total rows unknown,PUBLISHER_REPORTED_PARTIAL,varies by resolution; 12 documented smart-meter variables,PUBLISHER_REPORTED,1408,PUBLISHER_REPORTED,2018-11-03,2024-03-21,65,15-minute; daily cumulative; daily; publisher monthly,91520,ESTIMATED_UPPER_BOUND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,full-day missing blocks; ECDF published but exact portfolio ratio not tabulated,PUBLISHER_REPORTED,not reported after cleaning,UNKNOWN,erroneous negative grid consumption removed; exact count unknown,PUBLISHER_REPORTED,continuous zero/error periods removed; exact ratio unknown,PUBLISHER_REPORTED,UNKNOWN,UNKNOWN,65,ESTIMATED_UPPER_BOUND,UTC,none in stored timestamps; local calendar conversion still required,residents; building/heat distribution; PV; heat-pump attributes; 214 linked intervention households,OBIS tariff categories excluded; no price,YES,heat pump separated for some households; other appliances aggregate,random household IDs; exact locations and German free-text comments removed,residential heat-pump cohort; per-household duration varies; extracted data exceeds 2 GB
uci_eld,UCI ElectricityLoadDiagrams20112014,UCI Machine Learning Repository,https://doi.org/10.24432/C58C86,10.24432/C58C86,PRIMARY,METADATA_FEASIBILITY_REVIEWED,APPROVED_WITH_ATTRIBUTION,249.2 MB,678.1 MB,140256 time rows x 371 columns in source orientation,PUBLISHER_REPORTED,371,PUBLISHER_REPORTED,370,PUBLISHER_REPORTED,2011-01-01,2014-12-31,48,15-minute,17760,ESTIMATED_UPPER_BOUND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0 reported cells but structural pre-connection zeros exist,PUBLISHER_REPORTED,not reported,UNKNOWN,not reported,UNKNOWN,pre-connection zeros and DST zeros; exact ratio unknown,PUBLISHER_REPORTED,not reported,UNKNOWN,48,ESTIMATED_UPPER_BOUND,Portuguese local time,spring hour zero-filled; autumn repeated hour aggregated,NO,NO,NO,NO,anonymous client labels,client sector/type absent; structural zeros must not become usable history
refit,REFIT Electrical Load Measurements Cleaned,University of Strathclyde,https://doi.org/10.15129/9ab14b0e-19ac-4279-938f-27f643078cec,10.15129/9ab14b0e-19ac-4279-938f-27f643078cec,PRIMARY,METADATA_FEASIBILITY_REVIEWED,APPROVED_WITH_ATTRIBUTION,490 MB,estimated 8-12 GB; verify archive metadata first,1194958790,PUBLISHER_REPORTED,12 per house: timestamp; Unix time; aggregate; 9 IAM channels,PUBLISHER_REPORTED,20,PUBLISHER_REPORTED,2013-10,2015-06,21,8-second,420,ESTIMATED_UPPER_BOUND,20,20,20,UNKNOWN,ESTIMATED,12% unavailable on average; uptime mean 88% range 76-94%,PUBLISHER_REPORTED,duplicates merged in cleaned release; pre-clean count unknown,PUBLISHER_REPORTED,not reported,UNKNOWN,gaps over 2 minutes zeroed in publisher cleaned files; ratio unknown,PUBLISHER_REPORTED,IAM above 4000 W set to zero; exact count unknown,PUBLISHER_REPORTED,21,ESTIMATED_UPPER_BOUND,UK local; verify archive readme,DST handling not summarized on landing page,house appliance labels/make/model; limited house metadata,NO,NO,9 appliance channels per home,house IDs anonymous; linked qualitative data excluded,20 residential homes; publisher gap filling can bias monthly totals; integrate watts by elapsed time
ideal,IDEAL Household Energy Dataset,University of Edinburgh,https://doi.org/10.7488/ds/2836,10.7488/ds/2836,RESERVE,METADATA_FEASIBILITY_REVIEWED,APPROVED_WITH_ATTRIBUTION,30.04 GB across heavy archives plus small docs,UNKNOWN,UNKNOWN,UNKNOWN,2 per sensor file plus extensive metadata tables,PUBLISHER_REPORTED,255,PUBLISHER_REPORTED,2016-08,2018-06,23,1-second mains apparent power; 5-second real power; event-driven appliance; hourly summaries,5865,ESTIMATED_UPPER_BOUND,UNKNOWN,UNKNOWN,UNKNOWN,0,PARTIAL_PUBLISHER_REPORTED,not gap-filled; exact ratio unknown,UNKNOWN,duplicates/nulls removed in metadata readings; sensor exact unknown,PUBLISHER_REPORTED,unrealistic high/negative meter-derived energy not removed in some metadata,PUBLISHER_REPORTED,UNKNOWN,UNKNOWN,documented anomaly screening; exact electricity outlier count unknown,PUBLISHER_REPORTED,23,PUBLISHER_REPORTED_MAX,UTC,none in sensor timestamps,home type/age; occupants; income bands; rooms/floor area; working patterns; appliance inventory; urbanization,survey tariff attributes,YES,39 enhanced homes with appliances/subcircuits,anonymized numeric IDs; precise locations and free text removed,mean participation 286 days; huge download; apparent power is not billing kWh without power-factor assumptions
ausgrid_solar,Ausgrid Solar Home Electricity Data,Ausgrid / Australian Government,https://data.gov.au/data/dataset/nsw-solar-home-electricty-data,Data.gov.au 5ab48b70-5e99-47d3-9193-5c34a2676d93,RESERVE,METADATA_FEASIBILITY_REVIEWED,APPROVED_WITH_ATTRIBUTION,about 183 MB across three annual files; verify official resource,UNKNOWN,approximately 328500 entity-day-channel rows in wide daily form,ESTIMATED,53,PUBLISHER_REPORTED_FORMAT,300,PUBLISHER_REPORTED,2010-07-01,2013-06-30,36,30-minute,10800,ESTIMATED_UPPER_BOUND,300,300,300,300,ESTIMATED_UPPER_BOUND,unknown after first full-actual year,UNKNOWN,not reported,UNKNOWN,not reported,UNKNOWN,quality flag includes estimates/substitutes; ratio unknown,PUBLISHER_REPORTED,not reported,UNKNOWN,36,PUBLISHER_REPORTED_WINDOW,Australia/Sydney,local DST requires 46/50 interval-day handling,customer ID; consumption channel GC/CL/GG; row quality,domestic tariff and controlled-load category; no price,NO,controlled load category but no named appliance inventory,randomly selected customer IDs; no direct PII reported,solar-only domestic cohort; selected away from consumption/generation extremes
iblend,I-BLEND campus-scale electrical energy dataset,IIIT Delhi,https://doi.org/10.6084/m9.figshare.c.3893581,10.6084/m9.figshare.c.3893581,RESERVE,METADATA_FEASIBILITY_REVIEWED,APPROVED_WITH_ATTRIBUTION,UNKNOWN,UNKNOWN,about 3.7 million rows per stream across 52 months; multiple building/transformer streams,ESTIMATED,6,PUBLISHER_REPORTED,7,PUBLISHER_REPORTED,2013-08-10,2017-12-31,52,1-minute,364,ESTIMATED_UPPER_BOUND,7,7,7,7,ESTIMATED_UPPER_BOUND,source plots days with over 25% missing; exact ratio unknown,PUBLISHER_REPORTED,not reported,UNKNOWN,not reported,UNKNOWN,power-cut zero periods expected; exact ratio unknown,PUBLISHER_REPORTED,not reported,UNKNOWN,52,ESTIMATED_UPPER_BOUND,Asia/Kolkata,no DST,building use; architecture; occupancy at 10 minutes; institute calendar,NO,YES,NO,building-level non-personal data,only seven buildings in one campus; diesel backup and power cuts; one-minute power needs integration
uci_ihepc,UCI Individual Household Electric Power Consumption,UCI Machine Learning Repository,https://doi.org/10.24432/C58K54,10.24432/C58K54,REJECTED,METADATA_FEASIBILITY_REVIEWED,APPROVED_WITH_ATTRIBUTION,19.7 MB,126.8 MB,2075259,PUBLISHER_REPORTED,9,PUBLISHER_REPORTED,1,PUBLISHER_REPORTED,2006-12,2010-11,47,1-minute,47,ESTIMATED_UPPER_BOUND,1,1,1,1,ESTIMATED,1.25% rows have missing measurements,PUBLISHER_REPORTED,not reported,UNKNOWN,not reported,UNKNOWN,not reported,UNKNOWN,not reported,UNKNOWN,47,PUBLISHER_REPORTED_WINDOW,Europe/Paris local time inferred; verify source docs,DST not documented on UCI page,electrical quantities and three submeter groups,NO,NO,kitchen; laundry; water-heater/air-conditioner submeters,single household anonymous,fails multi-entity gate and cannot train global/cold-start models
uk_dale,UK-DALE,UK Energy Research Centre Energy Data Centre,https://doi.org/10.5286/ukerc.edc.000004,10.5286/ukerc.edc.000004,RESERVE,METADATA_FEASIBILITY_REVIEWED,APPROVED_OPEN,low-frequency archive size to verify; complete waveforms about 4 TB,UNKNOWN,>970 million low-frequency records,PUBLISHER_REPORTED,varies; aggregate and appliance channels,PUBLISHER_REPORTED,5,PUBLISHER_REPORTED,2012-11-09,2017-04-26,54,1-second and 6-second; optional 16 kHz,270,ESTIMATED_UPPER_BOUND,UNKNOWN,UNKNOWN,UNKNOWN,1,PARTIAL_PUBLISHER_REPORTED,UNKNOWN,UNKNOWN,not reported,UNKNOWN,not reported,UNKNOWN,UNKNOWN,UNKNOWN,not reported,UNKNOWN,54,ESTIMATED_UPPER_BOUND,UTC,Unix timestamps ignore DST transitions,appliance labels and house metadata,NO,NO,YES,anonymous house IDs,five homes with heterogeneous duration; high-frequency collection unsafe and unnecessary
cer_ireland,CER Smart Metering Electricity Customer Behaviour Trial,Commission for Energy Regulation / ISSDA,https://www.ucd.ie/issda/,ISSDA study 0012-00,RESTRICTED,RESTRICTED_METADATA_ONLY,RESTRICTED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,consumption; allocation; survey tables,PUBLISHER_REPORTED,over 5000,PUBLISHER_REPORTED,2009,2010,18,30-minute,90000,ESTIMATED_UPPER_BOUND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,18,ESTIMATED_UPPER_BOUND,Europe/Dublin,requires audit if access approved,residential and SME type; premises; demographics; appliance/equipment survey,tariff and trial groups,NO,survey equipment categories,pseudonymized/restricted personal data; no download performed,research/teaching licence only; approval/signature/geographic controls; prohibited for online AI processing
pecan_street,Pecan Street Dataport,Pecan Street Inc.,https://www.pecanstreet.org/access/,Dataport account licence,RESTRICTED,RESTRICTED_METADATA_ONLY,RESTRICTED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,75 in free university tier; more commercially,PUBLISHER_REPORTED,UNKNOWN,UNKNOWN,UNKNOWN,sub-minute/minute and metadata depending product,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,US site-specific,UNKNOWN,rich home/building/device metadata subject to licence,UNKNOWN,UNKNOWN,YES,restricted customer data; not accessed,paid commercial contract required; no sublicensing; account and identity verification
fik_electricity,FIKElectricity restaurant kitchens,Interactive Technologies Institute / OSF,https://doi.org/10.17605/OSF.IO/K3G8N,10.17605/OSF.IO/K3G8N,REJECTED,METADATA_FEASIBILITY_REVIEWED,APPROVED_WITH_ATTRIBUTION,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,aggregate table fields and per-appliance fields vary,PUBLISHER_REPORTED,3,PUBLISHER_REPORTED,2019,2019,1,1-second aggregate; about 5-second appliances,3,PUBLISHER_REPORTED_MAX,0,0,0,0,VERIFIED_FROM_DURATION,IK1 90.74%; IK2 94.83%; IK3 96.97% samples collected,PUBLISHER_REPORTED,not reported,UNKNOWN,not reported,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1,PUBLISHER_REPORTED,UTC normalized from WET/WEST,publisher converted to UTC,restaurant kitchen identity; 45 appliance labels; operating patterns,NO,NO,45 appliances across kitchens,business identities not published,fails minimum three-month duration despite excellent restaurant relevance
need,National Energy Efficiency Data-Framework anonymised sample,UK Department for Energy Security and Net Zero,https://www.data.gov.uk/dataset/7390402c-e7ce-4e2f-bb08-d8d65f852f47/,Data.gov.uk 7390402c-e7ce-4e2f-bb08-d8d65f852f47,REJECTED,METADATA_FEASIBILITY_REVIEWED,APPROVED_WITH_ATTRIBUTION,UNKNOWN,UNKNOWN,4000000,PUBLISHER_REPORTED,UNKNOWN,UNKNOWN,4000000,PUBLISHER_REPORTED,UNKNOWN,UNKNOWN,UNKNOWN,annual,0,NOT_DERIVABLE,0,0,0,0,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,NOT_APPLICABLE,UK annual,NOT_APPLICABLE,property and household attributes,NO,NO,NO,anonymized/disclosure-controlled,annual consumption cannot be disaggregated into truthful monthly usage
