rank,dataset_id,dataset_name,decision,technical_score,base_score,phase_coverage_score,entity_diversity_score,duration_score,business_relevance_score,metadata_richness_score,tariff_score,data_quality_score,license_score,bonus_adjustment,penalty_points,final_score,score_formula_version,legal_classification,legal_gate,legal_risk_score,data_quality_score_100,wattwise_domain_relevance_score,primary_role,score_notes
1,bdg2,Building Data Genome Project 2,PRIMARY,78,88,18,14,13,15,10,0,8,10,0,0,88,IT-ML-02A-v2,APPROVED_WITH_ATTRIBUTION,READY,10,82,96,non-residential validation; global learning,Bonus 0; penalty 0. Pinned Zenodo v1.0 CC BY 4.0 controls; the live-repository mismatch is documented.
2,goiener,GoiEner smart meters data,PRIMARY,83,83,18,15,15,14,8,4,9,0,0,0,83,IT-ML-02A-v2,LEGAL_REVIEW_REQUIRED,BLOCKED_PENDING_LICENSE_CLARIFICATION,95,90,94,global learning; long history; commercial cohorts,"Bonus 0; penalty 0. license_score is 0 and a separate blocking legal gate applies, preserving the visible technical score. Zenodo Description says CC-BY-SA while DataCite rightsList says CC BY 4.0."
3,heapo,HEAPO Heat Pump Optimization dataset,PRIMARY,70,80,19,15,15,3,9,0,9,10,0,0,80,IT-ML-02A-v2,APPROVED_WITH_ATTRIBUTION,READY,5,91,76,cold-start profile learning after timestamp audit; long history,Bonus 0; penalty 0. Phase score is reduced because 1358 profile-bearing households are reported but metadata submission time relative to first target is unverified.
4,london_smart_meter,London Smart Meter,PRIMARY,67,76,17,15,12,2,8,5,8,9,0,0,76,IT-ML-02A-v2,APPROVED_WITH_ATTRIBUTION,READY_WITH_LICENSE_RECHECK,10,80,79,tariff sensitivity; global learning,Bonus 0; penalty 0. ACORN is reported for each household; the unstated licence version must be rechecked at acquisition.
5,iblend,I-BLEND,RESERVE,66,76,20,2,15,12,10,0,7,10,0,0,76,IT-ML-02A-v2,APPROVED_WITH_ATTRIBUTION,READY_WITH_LICENSE_RECHECK,10,73,88,emerging-economy commercial external test,Bonus 0; penalty 0. Only seven buildings are represented directly by entity_diversity_score 2; no hidden adjustment.
6,uci_eld,UCI ElectricityLoadDiagrams20112014,PRIMARY,61,71,18,10,15,8,1,0,9,10,0,0,71,IT-ML-02A-v2,APPROVED_WITH_ATTRIBUTION,READY,5,90,83,manageable baseline; long history,Bonus 0; penalty 0. Phase score is reduced because history-0 profile eligibility is verified as 0.
7,ausgrid_solar,Ausgrid Solar Home Electricity Data,RESERVE,54,63,17,8,15,1,3,2,8,9,0,0,63,IT-ML-02A-v2,APPROVED_WITH_ATTRIBUTION,READY_WITH_LICENSE_RECHECK,8,82,65,southern-hemisphere long-history reserve,Bonus 0; penalty 0. Phase score is reduced because exact pre-target profile eligibility is unknown.
8,ideal,IDEAL Household Energy Dataset,RESERVE,48,58,11,7,8,1,10,3,8,10,0,0,58,IT-ML-02A-v2,APPROVED_WITH_ATTRIBUTION,READY_AFTER_SIZE_APPROVAL,5,84,75,cold-start and appliance reserve,"Bonus 0; penalty 0. Phase score is reduced because pre-target joins are unverified; size is an acquisition gate, not a score adjustment."
9,refit,REFIT Electrical Load Measurements,PRIMARY,44,54,12,3,12,1,8,0,8,10,0,0,54,IT-ML-02A-v2,APPROVED_WITH_ATTRIBUTION,READY_AFTER_SIZE_APPROVAL,5,80,62,appliance-informed short and medium history,Bonus 0; penalty 0. Phase score is reduced because pre-target house/appliance metadata eligibility is unknown.
10,cer_ireland,CER Smart Metering Trial,RESTRICTED,74,74,15,15,10,12,9,5,8,0,0,25,49,IT-ML-02A-v2,RESTRICTED,BLOCKED_RESEARCH_ONLY,85,82,90,restricted SME and tariff backup,Bonus 0; penalty 25 for restricted commercial use. Research/teaching terms and institutional controls block product use.
11,uk_dale,UK-DALE,RESERVE,38,48,10,1,11,1,7,0,8,10,0,0,48,IT-ML-02A-v2,APPROVED_OPEN,READY_LOW_FREQUENCY_ONLY,12,82,52,appliance-method reserve,Bonus 0; penalty 0. Phase score is reduced because pre-target profile eligibility is unknown.
12,uci_ihepc,UCI Individual Household Electric Power Consumption,REJECTED,39,49,11,0,15,0,5,0,8,10,0,10,39,IT-ML-02A-v2,APPROVED_WITH_ATTRIBUTION,REJECTED_PORTFOLIO_GATE,5,80,38,single-entity diagnostic only,Bonus 0; penalty 10 for only one entity. History-0 profile eligibility is 0.
13,pecan_street,Pecan Street Dataport,RESTRICTED,57,57,5,13,14,3,10,3,9,0,0,25,32,IT-ML-02A-v2,RESTRICTED,BLOCKED_COMMERCIAL_CONTRACT,95,90,72,restricted appliance and profile backup,Bonus 0; penalty 25 for restricted commercial use. Phase score is conservative because usable runs were inaccessible without an account.
14,need,National Energy Efficiency Data-Framework sample,REJECTED,33,43,0,15,0,1,9,0,8,10,0,20,23,IT-ML-02A-v2,APPROVED_WITH_ATTRIBUTION,REJECTED_MONTHLY_GATE,5,85,50,profile augmentation only,Bonus 0; penalty 20 for duration below six monthly observations. Annual consumption cannot produce monthly targets.
15,fik_electricity,FIKElectricity,REJECTED,30,40,0,0,0,15,7,0,8,10,0,20,20,IT-ML-02A-v2,APPROVED_WITH_ATTRIBUTION,REJECTED_DURATION_GATE,5,86,55,restaurant appliance augmentation only,Bonus 0; penalty 20 for duration below six months. Three profile-eligible kitchens support only a history-0 diagnostic.
