gate_id,gate_name,required,status,evidence
G01,provenance_and_license_verified,mandatory,PASS WITH WARNING,"UCI: CC BY 4.0 verified via DOI 10.24432/C58C86; BDG2: CC BY 4.0 on Zenodo v1.0 but byte equivalence NOT proven and MIT repo licence scope unclear; GoiEner: BLOCKED — not used"
G02,no_target_leakage,mandatory,PASS,"FEATURE_MANIFEST v1.0 excludes usage_kwh/target_usage_kwh/bill_amount; build.py enforces exclusion"
G03,chronological_splits,mandatory,PASS,"validate_split_isolation() enforces train.max < val.min < test.min; verified in recovered run"
G04,entity_disjointness_unseen_track,mandatory,PASS,"SHA-256 hash entity assignment; no entity overlap across folds"
G05,all_predictions_finite,mandatory,PASS,"325812 predictions; 0 non-finite values in successful predictions; successful_numeric_finite=true"
G06,nonnegative_policy,mandatory,PASS,"max(0, forecast) applied to all emitted forecasts and DeepAR quantiles; points_nonnegative=true"
G07,failure_rate_below_threshold,mandatory,PASS,"0 failures / 273039 successful = 0.0% failure rate (gate threshold: 5%)"
G08,minimum_three_seeds,mandatory,PASS,"Seeds 17, 29, 43 used for all trainable models; deterministic uses seed 0 (deterministic)"
G09,both_evaluation_tracks,mandatory,PASS,"seen_entity (temporal split) and unseen_entity (entity+temporal split) both evaluated"
G10,all_five_reporting_phases_evaluated,mandatory,PASS,"H00, H01_02, H03_05, H06_12, H13_PLUS all present in evaluation"
G11,paired_bootstrap_comparisons,mandatory,PASS,"180 paired comparisons; 500 bootstrap samples each; minimum 30 paired observations; 120 OK + 60 NO_COMMON_COHORT"
G12,deterministic_baseline_included,mandatory,PASS,"deterministic_baseline is rank #1 composite; mandatory in top-four portfolio"
G13,artifact_checksums_verified,mandatory,PASS,"36/36 artifacts (6 models x 2 tracks x 3 seeds) checksums match; all_manifest_checksums_match=true"
G14,no_training_during_recovery,mandatory,PASS,"recovery_type=INFERENCE_FROM_EXISTING_ARTIFACTS; prohibit_training() context manager active; training_operation_invoked=false"
G15,deepar_interval_calibration,informational,WARNING,"80% coverage: 54.25% (expected 80%); 95% coverage: 72.70% (expected 95%); material undercoverage — DeepAR excluded from portfolio"
